id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,1,2,1,1,,1,14.037,4.478,2747,26
ft,Toncar,Florian Toncar,0,2,1979,1,2,2,3,1,3,8587,3071,4478,99
rs,Schwarzeluehr-Sutter,Rita Schwarzeluehr-Sutter,0,1,1962,1,1,3,2,2,2,4250,1535,2941,
tl,Lindner,Tobias Lindner,0,2,1982,2,2,3,1,,,10500,3607,4920,
bs,Strasser,Benjamin Strasser,0,2,1987,1,3,2,3,2,,5811,3930,3372,287
co,Oezdemir,Cem Oezdemir,0,2,1965,2,1,4,1,,2,317191,105000,162573,
mt,Theurer,Michael Theurer,0,2,1967,1,1,3,3,1,2,8477,3745,27913,
ck,Kuehn,Christian Kuehn,0,2,1979,1,4,1,1,1,3,4786,1663,97,35
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,2,4,3,,,5406,3329,,
aa,,Auswaertiger Ausschuss,1,,,,,,,,,,,,
afaa,,Ausschuss fuer auswaertige Angelegenheiten,1,,,,,,,,,,,,
afsfj,,"Ausschuss fuer Senioren, Frauen und Jugend",1,,,,,,,,,,,,
afvudi,,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
awe,,Ausschuss für Wirtschaft und Energie,1,,,,,,,,,,,,
bfdp,,Bundesvorstand FDP,1,,,,,,,,,,,,
bu,,Bundesumweltministerium,1,,,,,,,,,,,,
efa,,EU-Parlament Fraktion Gruene/EFA,1,,,,,,,,,,,,
eha,,Europaeischer Haushaltsausschuss,1,,,,,,,,,,,,
eu,,Europa-Union,1,,,,,,,,,,,,
fdp,,FDP-Bundestagsfraktion,1,,,,,,,,,,,,
gzssf,,Gesellschaft zum Studium strukturpolitischer Fragen,1,,,,,,,,,,,,
ha,,Haushaltsausschuss,1,,,,,,,,,,,,
hbs,,Heinrich-Boell-Stiftung,1,,,,,,,,,,,,
juli,,Junge Liberale,1,,,,,,,,,,,,
kfw,,Kreditanstalt fuer Wiederaufbau,1,,,,,,,,,,,,
lfdp,,Landesvorstand FDP,1,,,,,,,,,,,,
lg,,Landesvorstand Gruene,1,,,,,,,,,,,,
sefepg,,Smart Energy for Europe Platform GmbH,1,,,,,,,,,,,,
ths,,Theodor-Heuss-Stiftung,1,,,,,,,,,,,,
ua,,Untersuchungsausschuss,1,,,,,,,,,,,,
unim,,Uni Mannheim,1,,,,,,,,,,,,
unit,,Uni Tuebingen,1,,,,,,,,,,,,